Reference,Physical pad,Manufacturer function,KiCad net,Unused rationale
U1,1,GND,GND,
U1,2,GND,GND,
U1,3,3V3,/+3V3,
U1,4,GPIO0,/BOOT,
U1,5,GPIO1,/GPS_UART_TX,
U1,6,GPIO2,/GPS_UART_RX,
U1,7,GPIO3,unconnected-(U1-IO3-Pad7),Unused GPIO; retain default strap states on GPIO3/45/46
U1,8,GPIO4,unconnected-(U1-IO4-Pad8),Unused GPIO; BAT_SENSE removed once the BQ24075 PGOOD pin made it redundant
U1,9,GPIO5,/CHG_EN1,
U1,10,GPIO6,/ACCEL_DRDY,
U1,11,GPIO7,/MAG_TACH,
U1,12,GPIO8,/OPT_TACH,
U1,13,GPIO9,/OPT_LED_EN,
U1,14,GPIO10,/ACQUIRE_BUTTON,
U1,15,GPIO11,/STATUS_LED,
U1,16,GPIO12,/SUPPLY_SENSE,
U1,17,GPIO13,/GPS_PPS,
U1,18,GPIO14,/ACCEL_SCK,
U1,19,GPIO15,/ACCEL_MOSI,
U1,20,GPIO16,/ACCEL_MISO,
U1,21,GPIO17,/ACCEL_CS,
U1,22,GPIO18,/CHG_EN2,
U1,23,GPIO19/USB_D-,Net-(U1-USB_D-),
U1,24,GPIO20/USB_D+,Net-(U1-USB_D+),
U1,25,GPIO21,/PGOOD_N,
U1,26,GPIO26,unconnected-(U1-IO26-Pad26),Unused GPIO; retain default strap states on GPIO3/45/46
U1,27,GPIO47,unconnected-(U1-IO47-Pad27),Unused GPIO; retain default strap states on GPIO3/45/46
U1,28,GPIO33,unconnected-(U1-IO33-Pad28),Unused GPIO; retain default strap states on GPIO3/45/46
U1,29,GPIO34,unconnected-(U1-IO34-Pad29),Unused GPIO; retain default strap states on GPIO3/45/46
U1,30,GPIO48,unconnected-(U1-IO48-Pad30),Unused GPIO; retain default strap states on GPIO3/45/46
U1,31,GPIO35,unconnected-(U1-IO35-Pad31),Unused GPIO; retain default strap states on GPIO3/45/46
U1,32,GPIO36,unconnected-(U1-IO36-Pad32),Unused GPIO; retain default strap states on GPIO3/45/46
U1,33,GPIO37,unconnected-(U1-IO37-Pad33),Unused GPIO; retain default strap states on GPIO3/45/46
U1,34,GPIO38,/CHG_STAT,
U1,35,GPIO39,unconnected-(U1-IO39-Pad35),Unused GPIO; retain default strap states on GPIO3/45/46
U1,36,GPIO40,unconnected-(U1-IO40-Pad36),Unused GPIO; retain default strap states on GPIO3/45/46
U1,37,GPIO41,unconnected-(U1-IO41-Pad37),Unused GPIO; retain default strap states on GPIO3/45/46
U1,38,GPIO42,unconnected-(U1-IO42-Pad38),Unused GPIO; retain default strap states on GPIO3/45/46
U1,39,TXD0/GPIO43,unconnected-(U1-TXD0-Pad39),Unused GPIO; retain default strap states on GPIO3/45/46
U1,40,RXD0/GPIO44,unconnected-(U1-RXD0-Pad40),Unused GPIO; retain default strap states on GPIO3/45/46
U1,41,GPIO45,unconnected-(U1-IO45-Pad41),Unused GPIO; retain default strap states on GPIO3/45/46
U1,42,GND,GND,
U1,43,GND,GND,
U1,44,GPIO46,unconnected-(U1-IO46-Pad44),Unused GPIO; retain default strap states on GPIO3/45/46
U1,45,EN,Net-(U1-EN),
U1,46,GND,GND,
U1,47,GND,GND,
U1,48,GND,GND,
U1,49,GND,GND,
U1,50,GND,GND,
U1,51,GND,GND,
