Reference,Pin,Net
C1,1,/USB_VBUS
C1,2,GND
C10,1,Net-(U1-EN)
C10,2,GND
C11,1,/ACQUIRE_BUTTON
C11,2,GND
C12,1,/SUPPLY_SENSE
C12,2,GND
C13,1,/+3V3
C13,2,GND
C14,1,/+3V3
C14,2,GND
C15,1,/+3V3
C15,2,GND
C16,1,/+3V3
C16,2,GND
C17,1,/+3V3
C17,2,GND
C18,1,Net-(U3-RC_TIMING)
C18,2,GND
C19,1,Net-(U3-PEAK_DET)
C19,2,GND
C2,1,/USB_VBUS
C2,2,GND
C26,1,Net-(C26-Pad1)
C26,2,GND
C27,1,/+3V3
C27,2,GND
C28,1,Net-(U10-RCext)
C28,2,Net-(U10-Cext)
C29,1,/+3V3
C29,2,GND
C3,1,/BAT
C3,2,GND
C30,1,/SYS
C30,2,GND
C4,1,/SYS_SW
C4,2,GND
C5,1,/SYS_SW
C5,2,GND
C6,1,/+3V3
C6,2,GND
C7,1,/+3V3
C7,2,GND
C8,1,/+3V3
C8,2,GND
C9,1,/+3V3
C9,2,GND
D3,1,/USB_VBUS
D3,2,GND
J1,A1,GND
J1,A12,GND
J1,A4,/USB_VBUS
J1,A5,Net-(J1-CC1)
J1,A6,/USB_CONN_D+
J1,A7,/USB_CONN_D-
J1,A8,unconnected-(J1-SBU1-PadA8)
J1,A9,/USB_VBUS
J1,B1,GND
J1,B12,GND
J1,B4,/USB_VBUS
J1,B5,Net-(J1-CC2)
J1,B6,/USB_CONN_D+
J1,B7,/USB_CONN_D-
J1,B8,unconnected-(J1-SBU2-PadB8)
J1,B9,/USB_VBUS
J1,SH,GND
J2,1,Net-(J2-Pin_1)
J2,2,GND
J3,1,Net-(J3-Pin_1)
J3,2,GND
J4,1,/+3V3
J4,2,GND
J4,3,/GPS_UART_RX
J4,4,/GPS_UART_TX
J4,5,/GPS_PPS
J5,1,/SYS_SW
J5,2,GND
J5,3,/OPT_LED_EN
J5,4,GND
J5,5,/OPT_COMP
J5,6,GND
J5,7,/+3V3
L1,1,Net-(U6-L1)
L1,2,Net-(U6-L2)
LED1,1,GND
LED1,2,Net-(LED1-A)
Q4,1,GND
Q4,2,/BAT
Q4,3,Net-(J2-Pin_1)
R1,1,GND
R1,2,Net-(J1-CC1)
R10,1,/STATUS_LED
R10,2,Net-(LED1-A)
R11,1,/SYS_SW
R11,2,/SUPPLY_SENSE
R12,1,/SUPPLY_SENSE
R12,2,GND
R13,1,Net-(R13-Pad1)
R13,2,Net-(J3-Pin_1)
R14,1,Net-(U3-VR_IN)
R14,2,Net-(R13-Pad1)
R15,1,/+3V3
R15,2,/MAG_TACH
R16,1,/+3V3
R16,2,Net-(U3-RC_TIMING)
R17,1,Net-(U3-PEAK_DET)
R17,2,GND
R2,1,GND
R2,2,Net-(J1-CC2)
R29,1,Net-(C26-Pad1)
R29,2,/OPT_LED_EN
R3,1,/ISET
R3,2,GND
R30,1,/+3V3
R30,2,Net-(U10-RCext)
R35,1,/ILIM
R35,2,GND
R36,1,/TS
R36,2,GND
R37,1,/+3V3
R37,2,/PGOOD_N
R38,1,/+3V3
R38,2,/CHG_STAT
R39,1,GND
R39,2,/OPT_COMP
R4,1,/+3V3
R4,2,Net-(U1-EN)
R6,1,/USB_CONN_D-
R6,2,Net-(U1-USB_D-)
R7,1,/USB_CONN_D+
R7,2,Net-(U1-USB_D+)
R8,1,/+3V3
R8,2,/ACQUIRE_BUTTON
R9,1,/+3V3
R9,2,/BOOT
SW1,1,/SYS
SW1,2,/SYS_SW
SW2,1,GND
SW2,2,/ACQUIRE_BUTTON
SW3,1,GND
SW3,2,/BOOT
TP1,1,/+3V3
TP10,1,/ACCEL_DRDY
TP2,1,GND
TP3,1,/BAT
TP7,1,/MAG_TACH
TP9,1,/OPT_TACH
U1,1,GND
U1,10,/ACCEL_DRDY
U1,11,/MAG_TACH
U1,12,/OPT_TACH
U1,13,/OPT_LED_EN
U1,14,/ACQUIRE_BUTTON
U1,15,/STATUS_LED
U1,16,/SUPPLY_SENSE
U1,17,/GPS_PPS
U1,18,/ACCEL_SCK
U1,19,/ACCEL_MOSI
U1,2,GND
U1,20,/ACCEL_MISO
U1,21,/ACCEL_CS
U1,22,/CHG_EN2
U1,23,Net-(U1-USB_D-)
U1,24,Net-(U1-USB_D+)
U1,25,/PGOOD_N
U1,26,unconnected-(U1-IO26-Pad26)
U1,27,unconnected-(U1-IO47-Pad27)
U1,28,unconnected-(U1-IO33-Pad28)
U1,29,unconnected-(U1-IO34-Pad29)
U1,3,/+3V3
U1,30,unconnected-(U1-IO48-Pad30)
U1,31,unconnected-(U1-IO35-Pad31)
U1,32,unconnected-(U1-IO36-Pad32)
U1,33,unconnected-(U1-IO37-Pad33)
U1,34,/CHG_STAT
U1,35,unconnected-(U1-IO39-Pad35)
U1,36,unconnected-(U1-IO40-Pad36)
U1,37,unconnected-(U1-IO41-Pad37)
U1,38,unconnected-(U1-IO42-Pad38)
U1,39,unconnected-(U1-TXD0-Pad39)
U1,4,/BOOT
U1,40,unconnected-(U1-RXD0-Pad40)
U1,41,unconnected-(U1-IO45-Pad41)
U1,42,GND
U1,43,GND
U1,44,unconnected-(U1-IO46-Pad44)
U1,45,Net-(U1-EN)
U1,46,GND
U1,47,GND
U1,48,GND
U1,49,GND
U1,5,/GPS_UART_TX
U1,50,GND
U1,51,GND
U1,52,GND
U1,53,GND
U1,54,GND
U1,55,GND
U1,56,GND
U1,57,GND
U1,58,GND
U1,59,GND
U1,6,/GPS_UART_RX
U1,60,GND
U1,61,GND
U1,62,GND
U1,63,GND
U1,64,GND
U1,65,GND
U1,7,unconnected-(U1-IO3-Pad7)
U1,8,unconnected-(U1-IO4-Pad8)
U1,9,/CHG_EN1
U10,1,Net-(U10-~{A})
U10,2,/+3V3
U10,3,/+3V3
U10,4,GND
U10,5,/OPT_TACH
U10,6,Net-(U10-Cext)
U10,7,Net-(U10-RCext)
U10,8,/+3V3
U2,1,/ACCEL_MISO
U2,10,unconnected-(U2-RES-Pad10)
U2,11,unconnected-(U2-RES-Pad11)
U2,12,/ACCEL_CS
U2,13,/ACCEL_SCK
U2,14,/ACCEL_MOSI
U2,2,GND
U2,3,GND
U2,4,/ACCEL_DRDY
U2,5,/+3V3
U2,6,GND
U2,7,GND
U2,8,/+3V3
U2,9,unconnected-(U2-INT2-Pad9)
U3,1,unconnected-(U3-NC-Pad1)
U3,10,unconnected-(U3-GATED_OUT-Pad10)
U3,11,GND
U3,12,/MAG_TACH
U3,13,unconnected-(U3-NC-Pad13)
U3,14,Net-(U3-RC_TIMING)
U3,2,GND
U3,3,Net-(U3-VR_IN)
U3,4,unconnected-(U3-NC-Pad4)
U3,5,unconnected-(U3-MODE-Pad5)
U3,6,unconnected-(U3-NC-Pad6)
U3,7,Net-(U3-PEAK_DET)
U3,8,/+3V3
U3,9,GND
U5,1,/TS
U5,10,/SYS
U5,11,/SYS
U5,12,/ILIM
U5,13,/USB_VBUS
U5,14,unconnected-(U5-TMR-Pad14)
U5,15,GND
U5,16,/ISET
U5,17,GND
U5,2,/BAT
U5,3,/BAT
U5,4,GND
U5,5,/CHG_EN2
U5,6,/CHG_EN1
U5,7,/PGOOD_N
U5,8,GND
U5,9,/CHG_STAT
U6,1,/+3V3
U6,10,/+3V3
U6,11,GND
U6,2,Net-(U6-L2)
U6,3,GND
U6,4,Net-(U6-L1)
U6,5,/SYS_SW
U6,6,/SYS_SW
U6,7,/SYS_SW
U6,8,/SYS_SW
U6,9,GND
U7,1,/USB_CONN_D-
U7,2,GND
U7,3,/USB_CONN_D+
U7,4,/USB_CONN_D+
U7,5,/USB_VBUS
U7,6,/USB_CONN_D-
U9,1,/OPT_COMP
U9,2,Net-(C26-Pad1)
U9,3,GND
U9,4,Net-(U10-~{A})
U9,5,/+3V3
