Reference,Pin,Pin Name,Connected Net
J3,A1,GND,GND
J3,A4,VBUS,USB_VBUS
J3,A5,CC1,CC1
J3,A6,D+,NC
J3,A7,D-,NC
J3,A8,SBU1,NC
J3,A9,VBUS,USB_VBUS
J3,A12,GND,GND
J3,B1,GND,GND
J3,B4,VBUS,USB_VBUS
J3,B5,CC2,CC2
J3,B6,D+,NC
J3,B7,D-,NC
J3,B8,SBU2,NC
J3,B9,VBUS,USB_VBUS
J3,B12,GND,GND
J3,SH,SHIELD,GND
R16,1,,CC1
R16,2,,GND
R17,1,,CC2
R17,2,,GND
U4,1,TS,TS_FIXED
U4,2,BAT,BAT+
U4,3,BAT,BAT+
U4,4,~{CE},GND
U4,5,EN2,GND
U4,6,EN1,SYS_OUT
U4,7,~{PGOOD},PGOOD
U4,8,VSS,GND
U4,9,~{CHG},CHG
U4,10,OUT,SYS_OUT
U4,11,OUT,SYS_OUT
U4,12,ILIM,BQ_ILIM
U4,13,IN,USB_VBUS
U4,14,TMR,BQ_TMR
U4,15,ITERM,BQ_ITERM
U4,16,ISET,BQ_ISET
U4,17,VSS,GND
R11,1,,TS_FIXED
R11,2,,GND
R18,1,,BQ_ILIM
R18,2,,GND
R19,1,,BQ_TMR
R19,2,,GND
R20,1,,BQ_ITERM
R20,2,,GND
R21,1,,BQ_ISET
R21,2,,GND
R22,1,,+3V3
R22,2,,PGOOD
R23,1,,+3V3
R23,2,,CHG
C6,1,,USB_VBUS
C6,2,,GND
C7,1,,BAT+
C7,2,,GND
C8,1,,SYS_OUT
C8,2,,GND
U5,3,VIN,SYS_RAW
U5,2,EN,SYS_RAW
U5,4,GND,GND
U5,5,SW,BOOST5_SW
U5,6,VOUT,+5V
U5,1,FB,BOOST5_FB
L1,1,1,SYS_RAW
L1,2,2,BOOST5_SW
R12,1,,+5V
R12,2,,BOOST5_FB
R13,1,,BOOST5_FB
R13,2,,GND
C9,1,,+5V
C9,2,,BOOST5_FB
C10,1,,SYS_RAW
C10,2,,GND
C11,1,,SYS_RAW
C11,2,,GND
C12,1,,+5V
C12,2,,GND
C13,1,,+5V
C13,2,,GND
C14,1,,+5V
C14,2,,GND
U6,1,IN,+5V
U6,2,GND,GND
U6,3,EN,+5V
U6,4,NC,NC
U6,5,OUT,+3V3
C15,1,,+5V
C15,2,,GND
C16,1,,+3V3
C16,2,,GND
C17,1,,+3V3
C17,2,,GND
FB1,1,,+3V3
FB1,2,,+3V3_A
C18,1,,+3V3_A
C18,2,,GND
C19,1,,+3V3_A
C19,2,,GND
U7,1,SW,BOOST24_SW
U7,2,GND,GND
U7,3,FB,BOOST24_FB
U7,4,EN,+5V
U7,5,VIN,+5V
L2,1,1,+5V
L2,2,2,BOOST24_SW
D2,1,K,+24V_ICP
D2,2,A,BOOST24_SW
R14,1,,+24V_ICP
R14,2,,BOOST24_FB
R15,1,,BOOST24_FB
R15,2,,GND
C20,1,,+24V_ICP
C20,2,,BOOST24_FB
C21,1,,+5V
C21,2,,GND
C22,1,,+5V
C22,2,,GND
C23,1,,+24V_ICP
C23,2,,GND
C24,1,,+24V_ICP
C24,2,,GND
C25,1,,+24V_ICP
C25,2,,GND
J1,A,A,NC
J1,B,B,GND
